,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
751,2010-02-04,2020-12-31,3983 days,173,1,42.19653179190752,0.3032369942196532,-0.82,3.488219178082192,3.09,-2.0217999999999985,-1.56,52.459999999999994,OGE
454,2010-01-06,2020-11-24,3975 days,174,1,41.95402298850575,0.3004022988505745,-1.025,4.964246575342464,3.97,-3.0704950495049506,-2.34,52.269999999999996,HBAN
954,2010-01-05,2020-12-31,4013 days,181,1,38.67403314917127,0.28784530386740337,-0.84,3.632571428571427,3.28,-1.8214414414414413,-1.49,52.10000000000001,SYK
463,2010-01-15,2020-11-23,3965 days,163,1,39.263803680981596,0.31957055214723923,-1.12,4.854687499999999,3.395,-2.6938541666666658,-2.175,52.089999999999996,HI
210,2010-01-22,2020-11-19,3954 days,165,1,38.18181818181819,0.31472727272727274,-0.85,3.5433333333333334,2.82,-1.6794117647058822,-1.315,51.92999999999999,CMS
381,2010-01-04,2020-12-15,3998 days,170,1,40.0,0.3044117647058823,-1.48,5.696764705882352,4.865,-3.290490196078432,-2.7800000000000002,51.750000000000014,FFIV
478,2010-01-29,2020-12-18,3976 days,182,1,35.714285714285715,0.284010989010989,-1.2149999999999999,4.770923076923077,4.39,-2.2087179487179482,-1.74,51.68999999999999,HRC
782,2010-01-06,2020-12-10,3991 days,167,1,37.72455089820359,0.30910179640718566,-1.27,5.0469841269841265,4.52,-2.585825242718447,-2.31,51.620000000000005,PCAR
851,2010-01-07,2020-11-16,3966 days,175,1,38.857142857142854,0.29457142857142854,-1.67,5.941176470588235,5.285,-3.325000000000001,-2.465,51.550000000000004,RF
407,2010-01-04,2020-11-30,3983 days,177,1,36.72316384180791,0.2906214689265536,-1.48,6.11753846153846,4.72,-3.1189189189189204,-2.68,51.44000000000001,FSS
774,2010-01-21,2020-12-17,3983 days,177,1,38.983050847457626,0.28830508474576266,-1.02,3.9830434782608695,3.38,-2.0722222222222224,-1.7650000000000001,51.03,OTTR
466,2010-01-28,2020-12-21,3980 days,182,1,41.75824175824176,0.27999999999999986,-1.2850000000000001,6.077499999999998,5.545,-3.9136190476190484,-3.39,50.96,HLIT
581,2010-02-03,2020-12-15,3968 days,159,1,40.25157232704403,0.32025157232704393,-1.19,5.20359375,5.125,-3.0011702127659574,-2.525,50.919999999999995,LEA
