,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
362,2010-01-21,2020-11-13,3949 days,365,1,34.794520547945204,-0.5916438356164386,-3.24,12.071889763779527,8.15,-7.41135593220339,-6.535,-215.95000000000002,EXTR
409,2010-01-06,2020-11-27,3978 days,387,1,33.33333333333333,-0.5598191214470293,-2.94,9.781472868217055,6.73,-5.73046511627907,-4.99,-216.65,FTNT
366,2010-01-11,2020-08-10,3864 days,358,1,36.312849162011176,-0.6079329608938546,-2.705,8.384692307692314,5.1850000000000005,-5.760572687224673,-4.68,-217.64,FBNC
529,2010-01-04,2020-12-18,4001 days,370,1,32.432432432432435,-0.5927027027027023,-1.915,6.266666666666667,3.645,-3.8852,-3.435,-219.3,ISBC
394,2010-01-06,2020-10-07,3927 days,428,1,31.074766355140188,-0.51719626168224,-2.91,9.96759398496241,4.45,-5.244237288135591,-4.47,-221.35999999999996,FLS
548,2010-01-05,2020-10-28,3949 days,414,1,34.78260869565217,-0.5351690821256041,-1.995,6.073958333333332,4.145,-4.060037037037037,-3.435,-221.56000000000006,JPM
245,2010-01-05,2020-12-21,4003 days,368,1,29.891304347826086,-0.6027173913043476,-3.44,13.796545454545456,5.715,-6.741937984496123,-5.79,-221.80000000000013,CRS
139,2010-01-06,2020-10-05,3925 days,350,1,33.42857142857143,-0.6352857142857135,-2.135,6.516752136752137,3.97,-4.263246753246755,-3.47,-222.35000000000002,BRKL
554,2010-01-20,2020-12-21,3988 days,437,1,36.15560640732266,-0.5106178489702516,-1.84,7.196139240506329,4.165,-4.875017921146956,-3.45,-223.14000000000004,KAR
323,2010-01-19,2020-11-16,3954 days,421,1,35.15439429928741,-0.5306175771971496,-1.26,3.586959459459458,2.5149999999999997,-2.7730147058823533,-2.44,-223.39000000000001,ED
29,2010-01-04,2020-12-07,3990 days,412,1,29.36893203883495,-0.5485922330097092,-1.55,6.0665289256198385,3.21,-3.3105862068965526,-2.6550000000000002,-226.01999999999995,AFG
796,2010-01-08,2020-10-05,3923 days,368,1,27.717391304347828,-0.6155978260869562,-2.515,9.095392156862745,4.1,-4.339360902255639,-3.51,-226.54000000000002,PFS
710,2010-01-27,2020-11-13,3943 days,372,1,32.795698924731184,-0.6112096774193551,-2.2350000000000003,6.874918032786881,4.745,-4.264440000000001,-3.8449999999999998,-227.36999999999998,NFG
72,2010-01-21,2020-12-21,3987 days,460,1,36.95652173913043,-0.49567391304347974,-1.3450000000000002,5.098470588235295,2.92,-3.7749999999999986,-3.08,-228.01000000000005,APH
990,2010-01-06,2020-10-05,3925 days,400,1,31.5,-0.5715500000000003,-2.915,8.980555555555553,5.325,-5.000625000000005,-4.555,-228.62000000000003,TOWN
897,2010-01-06,2020-12-14,3995 days,412,1,33.737864077669904,-0.5672330097087378,-2.435,8.14928057553957,4.82,-5.0237132352941165,-4.465,-233.70000000000002,SEE
210,2010-01-22,2020-12-31,3996 days,421,1,33.0166270783848,-0.5571733966745844,-1.66,4.480071942446042,3.21,-3.0617857142857146,-2.635,-234.57,CMS
1036,2010-01-06,2020-12-17,3998 days,408,1,37.254901960784316,-0.5767156862745098,-2.1550000000000002,7.498618421052633,5.37,-5.392509803921569,-4.21,-235.3,UNM
270,2010-01-05,2020-12-18,4000 days,435,1,32.64367816091954,-0.5429425287356313,-1.92,6.222605633802817,3.58,-3.8218088737201357,-3.33,-236.17999999999998,CVX
1039,2010-01-20,2020-12-11,3978 days,390,1,34.61538461538461,-0.6153076923076907,-3.0549999999999997,10.732148148148147,9.33,-6.6488582677165375,-5.875,-239.97000000000003,URBN
504,2010-01-21,2020-11-10,3946 days,411,1,36.25304136253041,-0.5855474452554748,-1.72,5.208859060402687,3.7,-3.9106923076923064,-3.4450000000000003,-240.66,IEX
1057,2010-01-21,2020-12-31,3997 days,356,1,36.51685393258427,-0.6785112359550566,-2.395,7.160538461538459,4.880000000000001,-5.187699115044247,-4.785,-241.54999999999998,VMC
452,2010-01-29,2020-12-07,3965 days,381,1,32.808398950131235,-0.6353805774278215,-2.54,7.768239999999996,4.76,-4.738710937499999,-4.17,-242.07999999999998,HAS
135,2010-01-07,2020-11-30,3980 days,377,1,30.76923076923077,-0.6448806366047752,-2.47,8.094827586206895,4.050000000000001,-4.529195402298849,-3.81,-243.12,BOKF
519,2010-01-04,2020-12-18,4001 days,439,1,37.12984054669704,-0.5557858769931665,-2.15,6.0481595092024545,4.06,-4.455942028985509,-4.0,-243.98999999999995,INTC
621,2010-02-03,2020-11-04,3927 days,319,1,29.780564263322884,-0.7653291536050157,-2.76,8.842105263157894,6.95,-4.839910714285714,-4.305,-244.14,MANT
1033,2010-01-04,2020-11-09,3962 days,336,1,32.44047619047619,-0.7271726190476194,-2.415,7.173302752293581,4.61,-4.52079295154185,-4.32,-244.32999999999998,UNF
238,2010-02-12,2020-12-14,3958 days,368,1,33.15217391304348,-0.670516304347826,-2.375,7.261803278688523,4.485,-4.604430894308943,-4.245,-246.75000000000006,CRI
432,2010-01-14,2020-12-23,3996 days,406,1,33.99014778325123,-0.6106650246305418,-1.73,5.103840579710142,3.4,-3.566516853932587,-3.17,-247.93,GPC
747,2010-01-15,2020-12-10,3982 days,430,1,38.139534883720934,-0.577488372093024,-1.9,5.546280487804879,4.25,-4.353045112781954,-3.95,-248.32,ODFL
954,2010-01-05,2020-11-09,3961 days,419,1,33.89021479713604,-0.5946778042959426,-1.85,5.542676056338028,3.74,-3.7409025270758116,-3.31,-249.16999999999996,SYK
445,2010-01-08,2020-12-03,3982 days,385,1,32.98701298701299,-0.6573246753246768,-2.3,6.627874015748029,4.27,-4.243449612403102,-3.665,-253.07000000000005,GWW
800,2010-01-22,2020-12-01,3966 days,355,1,33.80281690140845,-0.7148169014084508,-2.57,7.680083333333329,5.145,-5.044506437768242,-4.42,-253.76,PICO
738,2010-01-21,2020-12-31,3997 days,398,1,33.41708542713568,-0.6446231155778896,-1.57,4.648270676691727,2.91,-3.301056603773584,-2.94,-256.56,NWE
686,2010-01-04,2020-11-03,3956 days,396,1,31.565656565656564,-0.649873737373737,-4.845000000000001,15.40792,9.67,-8.056605166051659,-7.49,-257.35,MTRX
